Original File,Destination File,Bank Type,Status,Verified
dxweb (10).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM SWPA LLC - 0749 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (11).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM SWPA LLC OPERATING - 0706 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (12).pdf,BankUnited\2025-04\Bank United ARCTARIS EASTERN DEVELOPMENT HOUSING LLC FUND OPERATING - 7400 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (13).pdf,BankUnited\2025-04\Bank United ARCTARIS EASTERN DEVELOP SAVINGS - 7427 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (14).pdf,BankUnited\2025-04\Bank United ARCTARIS IMPACT INVESTORS LLC COLLATERAL - 8190 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (15).pdf,BankUnited\2025-04\Bank United ARCTARIS IMPACT INVESTORS LLC MMGNT - 8174 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (16).pdf,BankUnited\2025-04\Bank United ARCTARIS IMPACT INVESTORS LLC OPER - 3008 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (17).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2019 COLL - 8298 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (18).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2019 MM - 8239 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (19).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2019 OPER - 8220 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (20).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2020 COLL - 8441 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (21).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2020 LLC - 8425 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (22).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2020 OPER - 8387 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (23).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2022 COLL - 8530 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (24).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2022 MGMT - 8514 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (25).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2022 OPER - 8484 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (26).pdf,BankUnited\2025-04\Bank United ARCTARIS PRODUCT DEVELOP OPERATING - 5785 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (27).pdf,BankUnited\2025-04\Bank United ARCTARIS PRODUCT DEVELOP SAVINGS - 5793 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (28).pdf,BankUnited\2025-04\Bank United ARCTARIS SOUTH EAST DEVELOPMENT LLC - 6075 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (29).pdf,BankUnited\2025-04\Bank United ARCTARIS SOUTH EAST DEVELOPMENT LLC OPER - 6067 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (30).pdf,BankUnited\2025-04\Bank United EAST COAST COMMERCIAL DEV OPERATING - 6640 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (31).pdf,BankUnited\2025-04\Bank United EAST COAST COMMERCIAL DEV SAVINGS - 4120 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (32).pdf,BankUnited\2025-04\Bank United MID ATLANTIC INCLUSIVE HOUSING LLC - 6059 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (33).pdf,BankUnited\2025-04\Bank United MID ATLANTIC INCLUSIVE HOUSING LLC OPER - 5990 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (34).pdf,BankUnited\2025-04\Bank United ARCTARIS IMPACT FUND LP - 7076 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (35).pdf,BankUnited\2025-04\Bank United ARCTARIS OPPORTUNITY ZONE FUND 2019 LLC - 1396 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (8).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM ERIE LLC - 0579 April 2025 Statement.pdf,BankUnited,Would process,
dxweb (9).pdf,BankUnited\2025-04\Bank United ARC IMPACT-PROGRAM ERIE LLC OPERATING - 0560 April 2025 Statement.pdf,BankUnited,Would process,
